Feature,Mean,Lower,Upper
-0.02589361122168654,63.95636236633817,24.103746643573885,138.1315357379988
1.974402546320814,65.33335347247652,24.72991374924984,140.81695999833943
3.9746987038633144,66.74272726144966,25.39519726035259,143.489788534173
5.974994861405808,68.18529377808099,26.072473458606666,145.89151150758522
7.975291018948305,69.66188329107278,26.714336627854962,148.66186372798785
9.975587176490805,71.17335686532869,27.34821138405237,151.57860031248924
11.975883334033306,72.7206082998311,27.99916548407439,154.48925434867203
13.9761794915758,74.30455351385203,28.669714242886855,157.49147948889686
15.9764756491183,75.92608002508463,29.34739150847158,160.58895879389638
17.9767718066608,77.58617584739716,30.034594325915176,163.5827721274335
19.977067964203297,79.28584535782204,30.795514574924667,166.6611775957351
21.977364121745794,81.0260382018468,31.51810010969181,170.04591303231882
23.977660279288294,82.80782179761903,32.249713351189754,173.69154251582376
25.977956436830794,84.63224648542682,32.99017020475653,177.18680551553484
27.978252594373288,86.5004224423888,33.759272922137455,180.5914212209522
29.97854875191579,88.4134619039589,34.541258526490225,184.60790330443308
31.978844909458285,90.37249899156157,35.334159219903505,188.51333060887845
33.97914106700078,92.37872695000243,36.13790859658586,192.62367328065102
35.97943722454328,94.4333708788269,36.952362692487284,197.13722957021875
37.979733382085776,96.53766561747875,37.77747866830133,201.81209881244877
39.980029539628276,98.69288823034866,38.57896917291757,206.65959087103954
41.98032569717078,100.90037213525397,39.37350255410621,211.68599121389894
43.98062185471328,103.16147168338881,40.176064681094324,216.8979363258287
45.98091801225577,105.47755898905035,40.98654199791014,222.18184511275945
47.98121416979828,107.85003439001042,41.801484524630524,227.50419212340645
49.98151032734077,110.28043948263914,42.59659714581065,233.02005211675447
51.98180648488327,112.77021110117197,43.373788350669074,238.73661699546437
53.98210264242576,115.32089283347358,44.15653127640685,244.51410124622583
55.98239879996826,117.93417037981754,44.94472413595366,250.4129202256367
57.98269495751076,120.61157899999627,45.75025390093939,256.5119885884753
59.98299111505326,123.35482892351527,46.585762192174414,262.9951401977481
61.98328727259576,126.16564579253043,47.42691394619507,269.82824032266495
63.98358343013825,129.04581402983476,48.31949700916687,276.8823872302037
65.98387958768075,132.00045293427206,49.22570086675859,284.16498983052225
67.98417574522325,135.02989551609193,50.12895236177676,291.8857663499508
69.98447190276576,138.1345126970071,51.00018066582028,299.97531165237365
71.98476806030826,141.3163333963428,51.9025087868672,308.2661021825554
73.98506421785075,144.5773595657801,52.83189873367323,316.45681010050646
75.98536037539324,147.91970818671945,53.7684611214558,324.8258587268959
77.98565653293574,151.34554808368785,54.71212552026816,333.10435953594003
79.98595269047824,154.85708127897936,55.66285058400085,341.5464087583268
81.98624884802074,158.4565960492448,56.56878725344902,350.2741340715046
83.98654500556324,162.14643780249637,57.50816849076492,359.6763251808965
85.98684116310574,165.92900168638602,58.472673861944116,369.3789179971017
87.98713732064823,169.80677527033654,59.44525192452092,379.8207631221752
89.98743347819072,173.78231306740224,60.44597156687695,390.654880886598
91.98772963573325,177.85828004308834,61.47435306309348,401.8661038184716
93.98802579327574,182.03637686090607,62.51221783180826,413.46697087722123
95.98832195081823,186.30040544168537,63.56713503244005,425.7355475065998
97.98861810836073,190.67213153343445,64.68929079177292,438.80460744025567
